Origin,Destination,Airline_name1,Flight_code,Stops,Travel_date,Departure_time,Arrival_time,Fare,Base price,GST,Currency,Scraped_at time,Source
GOI,BOM,Akasa Air,QP-1176,Non-stop,10/16/2026,20:30,21:55,4586,4367.62,218.38,INR,9/1/2026 6:52,Cleartrip
GOI,BOM,Akasa Air,QP-1176,Non-stop,10/1/2026,20:30,21:55,4586,4367.62,218.38,INR,9/1/2026 6:52,Cleartrip
GOI,BOM,Akasa Air,QP-1106,Non-stop,10/1/2026,15:25,16:50,4586,4367.62,218.38,INR,9/1/2026 6:52,Cleartrip
BLR,HYD,Air India Express,IX-1250,Non-stop,10/1/2026,19:05,20:15,4592,4373.33,218.67,INR,9/1/2026 6:39,Cleartrip
BLR,HYD,Air India Express,IX-2506,Non-stop,10/1/2026,17:15,18:40,4592,4373.33,218.67,INR,9/1/2026 6:39,Cleartrip
BLR,HYD,Air India Express,IX-2051,Non-stop,10/1/2026,14:55,16:05,4592,4373.33,218.67,INR,9/1/2026 6:39,Cleartrip
BLR,HYD,Air India Express,IX-2018,Non-stop,10/1/2026,6:05,7:25,4592,4373.33,218.67,INR,9/1/2026 6:39,Cleartrip
BLR,HYD,Air India Express,IX-2506,Non-stop,9/16/2026,17:15,18:40,4592,4373.33,218.67,INR,9/1/2026 6:39,Cleartrip
BLR,HYD,Air India Express,IX-2819,Non-stop,10/1/2026,12:30,13:50,4592,4373.33,218.67,INR,9/1/2026 6:39,Cleartrip
AMD,BOM,IndiGo,6E-7018,Non-stop,9/16/2026,19:10,20:50,4619,4399.05,219.95,INR,9/1/2026 6:43,Cleartrip
BLR,PNQ,IndiGo,6E-6104,Non-stop,9/8/2026,11:40,13:10,4630,4409.52,220.48,INR,9/1/2026 6:45,Cleartrip
BLR,PNQ,IndiGo,6E-441,Non-stop,9/16/2026,20:40,22:05,4630,4409.52,220.48,INR,9/1/2026 6:45,Cleartrip
BLR,PNQ,IndiGo,6.00E-105,Non-stop,9/16/2026,18:50,20:15,4630,4409.52,220.48,INR,9/1/2026 6:45,Cleartrip
BLR,PNQ,IndiGo,6.00E-105,Non-stop,9/8/2026,18:50,20:15,4630,4409.52,220.48,INR,9/1/2026 6:45,Cleartrip
BLR,PNQ,IndiGo,6E-6104,Non-stop,9/16/2026,11:40,13:10,4630,4409.52,220.48,INR,9/1/2026 6:45,Cleartrip
BLR,BOM,Air India,AI-2858,Non-stop,9/8/2026,2:20,4:10,4635,4414.29,220.71,INR,9/1/2026 6:23,Cleartrip
AMD,BOM,IndiGo,6E-6351,Non-stop,10/1/2026,23:15,0:30,4688,4464.76,223.24,INR,9/1/2026 6:44,Cleartrip
BLR,BOM,IndiGo,6E-5293,Non-stop,9/16/2026,1:00,2:50,4689,4465.71,223.29,INR,9/1/2026 6:23,Cleartrip
BLR,BOM,IndiGo,6E-5089,Non-stop,9/8/2026,5:30,7:15,4689,4465.71,223.29,INR,9/1/2026 6:23,Cleartrip
BLR,BOM,IndiGo,6E-5205,Non-stop,9/16/2026,3:45,5:30,4689,4465.71,223.29,INR,9/1/2026 6:23,Cleartrip
BLR,HYD,IndiGo,6E-484,Non-stop,10/1/2026,8:15,9:30,4718,4493.33,224.67,INR,9/1/2026 6:39,Cleartrip
BLR,HYD,IndiGo,6E-537,Non-stop,10/1/2026,10:15,11:30,4718,4493.33,224.67,INR,9/1/2026 6:39,Cleartrip
BLR,HYD,IndiGo,6E-684,Non-stop,10/1/2026,22:30,23:45,4718,4493.33,224.67,INR,9/1/2026 6:39,Cleartrip
BLR,HYD,IndiGo,6E-6178,Non-stop,10/1/2026,6:10,7:20,4718,4493.33,224.67,INR,9/1/2026 6:39,Cleartrip
AMD,BOM,IndiGo,6E-5078,Non-stop,10/1/2026,10:55,12:20,4738,4512.38,225.62,INR,9/1/2026 6:44,Cleartrip
AMD,BOM,IndiGo,6E-6468,Non-stop,10/1/2026,9:00,10:30,4738,4512.38,225.62,INR,9/1/2026 6:44,Cleartrip
AMD,BOM,Air India,AI-494,Non-stop,10/1/2026,8:45,10:30,4739,4513.33,225.67,INR,9/1/2026 6:44,Cleartrip
AMD,BOM,Air India,AI-2504,Non-stop,10/1/2026,14:55,16:35,4739,4513.33,225.67,INR,9/1/2026 6:44,Cleartrip
AMD,BOM,IndiGo,6E-6285,Non-stop,9/16/2026,4:00,5:30,4743,4517.14,225.86,INR,9/1/2026 6:43,Cleartrip
AMD,BOM,IndiGo,6E-6285,Non-stop,9/8/2026,4:00,5:30,4743,4517.14,225.86,INR,9/1/2026 6:43,Cleartrip
GOI,BOM,Air India Express,IX-1209,Non-stop,9/2/2026,22:35,0:05,4765,4538.1,226.9,INR,9/1/2026 6:51,Cleartrip
GOI,BOM,IndiGo,6E-6278,Non-stop,10/1/2026,7:10,8:35,4765,4538.1,226.9,INR,9/1/2026 6:52,Cleartrip
GOI,BOM,IndiGo,6E-5176,Non-stop,9/2/2026,20:55,22:15,4765,4538.1,226.9,INR,9/1/2026 6:51,Cleartrip
GOI,BOM,IndiGo,6E-6278,Non-stop,10/16/2026,7:10,8:35,4765,4538.1,226.9,INR,9/1/2026 6:52,Cleartrip
GOI,BOM,IndiGo,6E-5176,Non-stop,10/16/2026,20:55,22:15,4765,4538.1,226.9,INR,9/1/2026 6:52,Cleartrip
GOI,BOM,IndiGo,6E-5176,Non-stop,10/1/2026,20:55,22:15,4765,4538.1,226.9,INR,9/1/2026 6:52,Cleartrip
BLR,BOM,Akasa Air,QP-1383,Non-stop,9/8/2026,5:25,7:10,4767,4540,227,INR,9/1/2026 6:23,Cleartrip
GOI,BOM,Akasa Air,QP-1106,Non-stop,10/16/2026,15:25,16:50,4771,4543.81,227.19,INR,9/1/2026 6:52,Cleartrip
BLR,PNQ,Akasa Air,QP-1325,Non-stop,9/8/2026,14:30,16:05,4799,4570.48,228.52,INR,9/1/2026 6:45,Cleartrip
BLR,PNQ,IndiGo,6E-441,Non-stop,10/1/2026,20:40,22:05,4799,4570.48,228.52,INR,9/1/2026 6:45,Cleartrip
BLR,PNQ,IndiGo,6E-441,Non-stop,9/8/2026,20:40,22:05,4799,4570.48,228.52,INR,9/1/2026 6:45,Cleartrip
BLR,PNQ,IndiGo,6.00E-105,Non-stop,9/2/2026,18:50,20:15,4799,4570.48,228.52,INR,9/1/2026 6:44,Cleartrip
GOI,BOM,IndiGo,6E-6156,Non-stop,10/1/2026,0:05,1:25,4827,4597.14,229.86,INR,9/1/2026 6:52,Cleartrip
GOI,BOM,IndiGo,6E-5231,Non-stop,10/1/2026,16:30,17:50,4827,4597.14,229.86,INR,9/1/2026 6:52,Cleartrip
GOI,BOM,IndiGo,6E-2175,Non-stop,10/1/2026,6:40,8:05,4827,4597.14,229.86,INR,9/1/2026 6:52,Cleartrip
